experiment,k,layers,acc_emb,trn_emb,lr,epoch,auprc,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k100_L5_emb64x64_lr0.0001,100.0,5.0,64.0,64.0,0.0001,2,0.0234659984762479,0.06696035242290749,0.9748743718592965,0.18095238095238095,0.04108108108108108
k20_L5_emb64x128_lr0.0001,20.0,5.0,64.0,128.0,0.0001,2,0.022922255315188714,0.052770448548812667,0.964824120603015,0.0676818950930626,0.043243243243243246
k100_L5_emb64x128_lr0.0001,100.0,5.0,64.0,128.0,0.0001,2,0.022458288580566033,0.06692015209125475,0.964824120603015,0.11282051282051282,0.04756756756756757
k50_L5_emb128x256_lr0.0001,50.0,5.0,128.0,256.0,0.0001,2,0.021533899407054156,0.058734939759036146,0.9748743718592965,0.0967741935483871,0.04216216216216216
k20_L2_emb64x256_lr0.0001,20.0,2.0,64.0,256.0,0.0001,2,0.021516406713412952,0.05447941888619855,0.9798994974874372,0.061898211829436035,0.04864864864864865
k50_L3_emb128x128_lr0.0001,50.0,3.0,128.0,128.0,0.0001,2,0.021496405250521534,0.05970149253731343,0.9849246231155779,0.1588785046728972,0.036756756756756756
k50_L5_emb64x256_lr0.0001,50.0,5.0,64.0,256.0,0.0001,3,0.021164871691440906,0.04536082474226804,0.9899497487437187,0.062264150943396226,0.03567567567567568
k20_L3_emb64x64_lr0.0001,20.0,3.0,64.0,64.0,0.0001,2,0.021130099667844748,0.05263157894736842,0.9849246231155779,0.07321772639691715,0.04108108108108108
k20_L3_emb64x256_lr0.0001,20.0,3.0,64.0,256.0,0.0001,2,0.020852253813418972,0.055267702936096716,0.9849246231155779,0.13733905579399142,0.034594594594594595
k20_L5_emb64x64_lr0.0001,20.0,5.0,64.0,64.0,0.0001,2,0.020512875512779603,0.048507462686567165,0.9849246231155779,0.05710102489019034,0.04216216216216216
k100_L5_emb128x256_lr0.0001,100.0,5.0,128.0,256.0,0.0001,2,0.020236370270172718,0.05122615803814714,0.9447236180904522,0.051648351648351645,0.05081081081081081
k20_L3_emb128x256_lr0.0001,20.0,3.0,128.0,256.0,0.0001,3,0.020005243633442863,0.04330017554125219,0.9949748743718593,0.047193877551020405,0.04
k100_L3_emb64x256_lr0.0001,100.0,3.0,64.0,256.0,0.0001,2,0.01981455703620255,0.061967467079783116,0.9748743718592965,0.1092896174863388,0.043243243243243246
k20_L5_emb128x256_lr0.0001,20.0,5.0,128.0,256.0,0.0001,2,0.019799204477266796,0.041392285983066796,0.9798994974874372,0.15942028985507245,0.023783783783783784
k50_L3_emb128x64_lr0.0001,50.0,3.0,128.0,64.0,0.0001,2,0.01912312881622096,0.05559968228752978,0.9899497487437187,0.10479041916167664,0.03783783783783784
k50_L2_emb64x64_lr0.0001,50.0,2.0,64.0,64.0,0.0001,2,0.01908497525986014,0.06010016694490818,0.9899497487437187,0.13186813186813187,0.03891891891891892
k100_L3_emb128x256_lr0.0001,100.0,3.0,128.0,256.0,0.0001,2,0.019003894018509375,0.04574132492113565,0.9798994974874372,0.08454810495626822,0.03135135135135135
k100_L3_emb128x128_lr0.0001,100.0,3.0,128.0,128.0,0.0001,2,0.01890563602140033,0.052132701421800945,0.9798994974874372,0.0967741935483871,0.03567567567567568
k50_L2_emb64x256_lr0.0001,50.0,2.0,64.0,256.0,0.0001,2,0.01881592719835356,0.04721030042918455,0.9849246231155779,0.06976744186046512,0.03567567567567568
k20_L5_emb64x256_lr0.0001,20.0,5.0,64.0,256.0,0.0001,2,0.018773617064357196,0.04455445544554455,0.9798994974874372,0.09407665505226481,0.02918918918918919
k20_L2_emb64x64_lr0.0001,20.0,2.0,64.0,64.0,0.0001,3,0.01856455028297838,0.030817610062893082,0.9949748743718593,0.021729490022172948,0.05297297297297297
k100_L5_emb64x256_lr0.0001,100.0,5.0,64.0,256.0,0.0001,3,0.01852659496916017,0.051535087719298246,0.9899497487437187,0.05228031145717464,0.05081081081081081
k20_L2_emb64x128_lr0.0001,20.0,2.0,64.0,128.0,0.0001,2,0.018472640924235117,0.06015037593984962,0.9849246231155779,0.09876543209876543,0.043243243243243246
k100_L2_emb64x256_lr0.0001,100.0,2.0,64.0,256.0,0.0001,3,0.018416341933236914,0.049247606019151846,0.9949748743718593,0.0670391061452514,0.03891891891891892
k100_L3_emb64x64_lr0.0001,100.0,3.0,64.0,64.0,0.0001,2,0.018402864396430334,0.059967585089141004,0.9849246231155779,0.11974110032362459,0.04
k100_L3_emb64x128_lr0.0001,100.0,3.0,64.0,128.0,0.0001,3,0.018340992731832623,0.05630026809651475,0.9949748743718593,0.07407407407407407,0.04540540540540541
k20_L5_emb128x128_lr0.0001,20.0,5.0,128.0,128.0,0.0001,3,0.01833211898166376,0.043149946062567425,0.9899497487437187,0.04305705059203445,0.043243243243243246
k50_L5_emb64x64_lr0.0001,50.0,5.0,64.0,64.0,0.0001,2,0.01820368538222865,0.04714828897338403,0.9899497487437187,0.07948717948717948,0.03351351351351351
k100_L5_emb128x64_lr0.0001,100.0,5.0,128.0,64.0,0.0001,2,0.017883534973053963,0.0443307757885763,0.9849246231155779,0.10483870967741936,0.02810810810810811
k20_L2_emb128x128_lr0.0001,20.0,2.0,128.0,128.0,0.0001,2,0.017614166155874765,0.04447115384615385,0.9798994974874372,0.05006765899864682,0.04
k20_L3_emb64x128_lr0.0001,20.0,3.0,64.0,128.0,0.0001,2,0.017506753476725034,0.05297157622739018,0.9798994974874372,0.06581059390048154,0.04432432432432432
k20_L2_emb128x256_lr0.0001,20.0,2.0,128.0,256.0,0.0001,3,0.017501547709330094,0.0361074416556583,0.9949748743718593,0.030460624071322436,0.04432432432432432
k100_L2_emb128x256_lr0.0001,100.0,2.0,128.0,256.0,0.0001,2,0.017483021219438497,0.04946996466431095,0.9798994974874372,0.07142857142857142,0.03783783783783784
k20_L5_emb128x64_lr0.0001,20.0,5.0,128.0,64.0,0.0001,3,0.01734452706702233,0.049889948642699924,0.9949748743718593,0.0776255707762557,0.036756756756756756
k20_L2_emb128x64_lr0.0001,20.0,2.0,128.0,64.0,0.0001,2,0.01726174634219292,0.045414847161572056,0.9899497487437187,0.11818181818181818,0.02810810810810811
k20_L3_emb128x128_lr0.0001,20.0,3.0,128.0,128.0,0.0001,3,0.017248162961774376,0.03952243721696171,0.9949748743718593,0.031914893617021274,0.05189189189189189
k50_L3_emb128x256_lr0.0001,50.0,3.0,128.0,256.0,0.0001,2,0.017226190990406898,0.05232929164007658,0.9798994974874372,0.06386292834890965,0.04432432432432432
k50_L3_emb64x128_lr0.0001,50.0,3.0,64.0,128.0,0.0001,3,0.017076495095166146,0.04294917680744453,0.9949748743718593,0.0635593220338983,0.032432432432432434
k50_L5_emb128x128_lr0.0001,50.0,5.0,128.0,128.0,0.0001,2,0.017070204134564844,0.05044751830756713,0.9748743718592965,0.10197368421052631,0.03351351351351351
k100_L5_emb128x128_lr0.0001,100.0,5.0,128.0,128.0,0.0001,2,0.0170366917287384,0.0440699935191186,0.964824120603015,0.05501618122977346,0.036756756756756756
k50_L5_emb128x64_lr0.0001,50.0,5.0,128.0,64.0,0.0001,2,0.01703564010774116,0.04895104895104895,0.9849246231155779,0.06930693069306931,0.03783783783783784
k100_L2_emb64x64_lr0.0001,100.0,2.0,64.0,64.0,0.0001,3,0.016999198114170305,0.04257167680278019,0.9949748743718593,0.03558460421205519,0.05297297297297297
k50_L2_emb64x128_lr0.0001,50.0,2.0,64.0,128.0,0.0001,2,0.016798591665163905,0.04667124227865477,0.9899497487437187,0.06390977443609022,0.036756756756756756
k100_L2_emb64x128_lr0.0001,100.0,2.0,64.0,128.0,0.0001,3,0.016690552766508267,0.04489337822671156,0.9949748743718593,0.046674445740956826,0.043243243243243246
k50_L3_emb64x256_lr0.0001,50.0,3.0,64.0,256.0,0.0001,4,0.016338010429091825,0.03324900614383809,0.9949748743718593,0.0249728555917481,0.04972972972972973
k100_L2_emb128x128_lr0.0001,100.0,2.0,128.0,128.0,0.0001,3,0.01632435108525854,0.04685059864653826,0.9949748743718593,0.045180722891566265,0.04864864864864865
k50_L2_emb128x128_lr0.0001,50.0,2.0,128.0,128.0,0.0001,2,0.016238703041495595,0.04803843074459568,0.9899497487437187,0.09259259259259259,0.032432432432432434
k20_L3_emb128x64_lr0.0001,20.0,3.0,128.0,64.0,0.0001,2,0.015986791814586787,0.04710144927536232,0.9899497487437187,0.1452513966480447,0.02810810810810811
k100_L3_emb128x64_lr0.0001,100.0,3.0,128.0,64.0,0.0001,2,0.01598044142838336,0.05386250885896527,0.9748743718592965,0.07818930041152264,0.04108108108108108
k50_L5_emb64x128_lr0.0001,50.0,5.0,64.0,128.0,0.0001,2,0.015423902284334812,0.04495912806539509,0.9748743718592965,0.06077348066298342,0.03567567567567568
k100_L2_emb128x64_lr0.0001,100.0,2.0,128.0,64.0,0.0001,3,0.015111000336520169,0.036678553234844626,0.9949748743718593,0.03468208092485549,0.03891891891891892
k50_L3_emb64x64_lr0.0001,50.0,3.0,64.0,64.0,0.0001,2,0.015011602021587097,0.053756030323914544,0.9899497487437187,0.0741444866920152,0.04216216216216216
k50_L2_emb128x256_lr0.0001,50.0,2.0,128.0,256.0,0.0001,2,0.014860513500077683,0.051643192488262914,0.9849246231155779,0.09348441926345609,0.03567567567567568
k50_L2_emb128x64_lr0.0001,50.0,2.0,128.0,64.0,0.0001,2,0.01340696767691872,0.046068308181096106,0.9899497487437187,0.08682634730538923,0.03135135135135135
k20_L5_emb32x64_lr0.0001,20.0,5.0,32.0,64.0,0.0001,3,0.01307971476746942,0.04056437389770723,0.9949748743718593,0.11004784688995216,0.024864864864864864
k20_L5_emb32x128_lr0.0001,20.0,5.0,32.0,128.0,0.0001,6,0.012584540707260033,0.03911735205616851,0.9949748743718593,0.03648269410664172,0.04216216216216216
k20_L3_emb32x64_lr0.0001,20.0,3.0,32.0,64.0,0.0001,2,0.012206317569361795,0.038953134510042606,0.9849246231155779,0.04456824512534819,0.034594594594594595
k100_L5_emb32x256_lr0.0001,100.0,5.0,32.0,256.0,0.0001,2,0.011201727962063254,0.03169811320754717,0.9547738693467337,0.0525,0.022702702702702703
k20_L2_emb32x256_lr0.0001,20.0,2.0,32.0,256.0,0.0001,2,0.010857274040254924,0.04114713216957606,0.9798994974874372,0.048600883652430045,0.03567567567567568
k50_L5_emb32x128_lr0.0001,50.0,5.0,32.0,128.0,0.0001,2,0.01082882357245499,0.03844258255298177,0.964824120603015,0.035326086956521736,0.04216216216216216
k20_L5_emb32x256_lr0.0001,20.0,5.0,32.0,256.0,0.0001,2,0.010811683642779872,0.03469501958589815,0.9798994974874372,0.03596287703016241,0.03351351351351351
k20_L3_emb32x256_lr0.0001,20.0,3.0,32.0,256.0,0.0001,2,0.010788664783992687,0.029964747356051705,0.9798994974874372,0.020572811617587738,0.055135135135135134
k20_L2_emb32x128_lr0.0001,20.0,2.0,32.0,128.0,0.0001,6,0.01077681553820551,0.033810143042912875,0.9949748743718593,0.028219971056439943,0.04216216216216216
k100_L5_emb32x64_lr0.0001,100.0,5.0,32.0,64.0,0.0001,5,0.010152952381297028,0.03024390243902439,0.9899497487437187,0.027555555555555555,0.03351351351351351
k20_L2_emb32x64_lr0.0001,20.0,2.0,32.0,64.0,0.0001,6,0.009761286069150858,0.027604337824515282,0.9899497487437187,0.019830028328611898,0.04540540540540541
k100_L5_emb32x128_lr0.0001,100.0,5.0,32.0,128.0,0.0001,5,0.009705643934179255,0.03055229142185664,0.9849246231155779,0.020976200080677694,0.05621621621621622
k50_L5_emb32x256_lr0.0001,50.0,5.0,32.0,256.0,0.0001,1,0.009412719029739322,0.028033935817041684,0.9396984924623115,0.016900155659328443,0.08216216216216216
k20_L3_emb32x128_lr0.0001,20.0,3.0,32.0,128.0,0.0001,2,0.009022597200063157,0.030620467365028204,0.9899497487437187,0.060126582278481014,0.02054054054054054
k50_L3_emb32x128_lr0.0001,50.0,3.0,32.0,128.0,0.0001,2,0.008892809471416315,0.03868194842406877,0.964824120603015,0.0289234065345474,0.05837837837837838
k50_L2_emb32x128_lr0.0001,50.0,2.0,32.0,128.0,0.0001,2,0.008687853873881043,0.03288314738696418,0.9798994974874372,0.03598971722365039,0.03027027027027027
k100_L3_emb32x64_lr0.0001,100.0,3.0,32.0,64.0,0.0001,2,0.008650492344123694,0.0294314381270903,0.9698492462311558,0.03859649122807018,0.023783783783783784
k50_L3_emb32x256_lr0.0001,50.0,3.0,32.0,256.0,0.0001,1,0.008569533335386808,0.025045445364572812,0.9396984924623115,0.015399900645802286,0.06702702702702702
k100_L3_emb32x128_lr0.0001,100.0,3.0,32.0,128.0,0.0001,5,0.00854213322378252,0.02749867794817557,0.9949748743718593,0.026915113871635612,0.02810810810810811
k100_L3_emb32x256_lr0.0001,100.0,3.0,32.0,256.0,0.0001,5,0.008415341946376644,0.029393753827311696,0.9949748743718593,0.03389830508474576,0.025945945945945945
k100_L2_emb32x256_lr0.0001,100.0,2.0,32.0,256.0,0.0001,5,0.008037749755432668,0.03157216494845361,0.9899497487437187,0.022487379531895366,0.05297297297297297
k50_L3_emb32x64_lr0.0001,50.0,3.0,32.0,64.0,0.0001,2,0.00801287258833704,0.033308099924299776,0.9798994974874372,0.05555555555555555,0.023783783783783784
k50_L2_emb32x256_lr0.0001,50.0,2.0,32.0,256.0,0.0001,1,0.00798545647593796,0.020898176967541128,0.9346733668341709,0.011646636104571924,0.10162162162162162
k50_L5_emb32x64_lr0.0001,50.0,5.0,32.0,64.0,0.0001,2,0.007902241120884066,0.029829028737722807,0.964824120603015,0.022478070175438597,0.04432432432432432
k100_L2_emb32x128_lr0.0001,100.0,2.0,32.0,128.0,0.0001,5,0.0073610810987606475,0.030991735537190084,0.9949748743718593,0.02967359050445104,0.032432432432432434
k100_L2_emb32x64_lr0.0001,100.0,2.0,32.0,64.0,0.0001,5,0.006435048027056418,0.026388462718625345,0.9899497487437187,0.01842330762639246,0.046486486486486484
k50_L2_emb32x64_lr0.0001,50.0,2.0,32.0,64.0,0.0001,5,0.005988419205639804,0.02987622705932565,0.9949748743718593,0.02468265162200282,0.03783783783783784
